ts,gpu_pct,emc_pct,ram_used_mb,ram_total_mb,cpu_raw
2025-08-26T16:34:08,8,,2998,7620,"8%@729,9%@729,9%@729,12%@729,14%@1651,3%@1651"
2025-08-26T16:34:09,0,,2998,7620,"16%@729,20%@729,8%@729,6%@729,74%@1728,6%@1728"
2025-08-26T16:34:10,32,,2999,7620,"26%@1728,32%@1728,31%@1728,32%@1728,33%@729,21%@729"
2025-08-26T16:34:11,15,,3003,7620,"8%@1574,2%@1574,7%@1574,67%@1574,19%@729,9%@729"
2025-08-26T16:34:12,0,,3138,7620,"40%@1728,53%@1728,22%@1728,22%@1728,48%@729,21%@729"
2025-08-26T16:34:13,0,,3167,7620,"82%@729,1%@729,1%@729,0%@729,11%@1728,6%@1728"
2025-08-26T16:34:14,46,,3214,7620,"20%@1267,24%@1267,26%@1267,18%@1267,55%@1728,43%@1728"
2025-08-26T16:34:15,0,,3232,7620,"18%@729,17%@729,14%@729,14%@729,8%@729,13%@729"
2025-08-26T16:34:16,40,,3270,7620,"28%@1651,32%@1651,17%@1651,9%@1651,7%@729,12%@729"
2025-08-26T16:34:17,0,,3270,7620,"19%@729,10%@729,26%@729,16%@729,10%@729,11%@729"
2025-08-26T16:34:18,0,,3271,7620,"16%@729,9%@729,7%@729,36%@729,11%@729,8%@729"
2025-08-26T16:34:19,0,,3270,7620,"9%@729,13%@729,7%@729,33%@729,6%@729,7%@729"
2025-08-26T16:34:20,0,,3274,7620,"11%@729,21%@729,10%@729,26%@729,8%@729,8%@729"
2025-08-26T16:34:21,0,,3274,7620,"8%@729,10%@729,6%@729,40%@729,8%@729,7%@729"
2025-08-26T16:34:22,0,,3274,7620,"22%@1267,29%@1267,5%@1267,6%@1267,13%@729,7%@729"
2025-08-26T16:34:23,0,,3274,7620,"15%@1344,20%@1420,20%@1420,7%@1420,5%@729,6%@729"
2025-08-26T16:34:24,0,,3274,7620,"22%@729,17%@729,14%@729,17%@729,6%@1344,7%@1344"
2025-08-26T16:34:25,0,,3274,7620,"10%@1267,15%@1267,7%@1267,8%@1267,23%@729,26%@729"
2025-08-26T16:34:26,0,,3274,7620,"10%@1344,18%@1344,19%@1344,14%@1344,4%@729,5%@729"
2025-08-26T16:34:27,0,,3274,7620,"29%@1420,20%@1420,12%@1420,8%@1420,8%@729,7%@729"
2025-08-26T16:34:28,0,,3274,7620,"19%@1420,23%@1420,9%@1420,8%@1420,9%@729,7%@729"
2025-08-26T16:34:29,0,,3274,7620,"9%@1344,26%@1344,19%@1344,6%@1344,7%@729,9%@729"
2025-08-26T16:34:30,0,,3274,7620,"16%@1420,18%@1420,14%@1420,14%@1420,7%@729,10%@729"
2025-08-26T16:34:31,0,,3274,7620,"22%@1420,26%@1420,7%@1420,8%@1420,7%@729,6%@729"
2025-08-26T16:34:32,0,,3274,7620,"11%@1420,23%@1420,22%@1420,17%@1420,7%@729,8%@729"
2025-08-26T16:34:33,16,,3274,7620,"23%@1728,25%@1728,37%@1728,22%@1728,11%@1420,8%@1420"
2025-08-26T16:34:34,0,,3274,7620,"36%@729,16%@729,22%@729,20%@729,14%@1574,41%@1574"
2025-08-26T16:34:35,68,,3274,7620,"35%@1420,9%@1420,9%@1420,10%@1420,13%@729,10%@729"
2025-08-26T16:34:36,73,,3274,7620,"42%@1113,9%@1113,7%@1113,11%@1113,7%@729,7%@729"
2025-08-26T16:34:37,60,,3274,7620,"21%@729,12%@729,8%@729,23%@729,8%@729,7%@729"
2025-08-26T16:34:38,24,,3282,7620,"23%@960,19%@960,10%@960,24%@960,14%@729,9%@729"
2025-08-26T16:34:39,9,,3282,7620,"21%@1728,8%@1728,10%@1728,29%@1728,7%@729,7%@729"
2025-08-26T16:34:40,7,,3282,7620,"17%@729,8%@729,10%@729,30%@729,7%@729,7%@729"
2025-08-26T16:34:41,0,,3282,7620,"28%@729,11%@729,11%@729,21%@729,6%@729,6%@729"
2025-08-26T16:34:42,0,,3282,7620,"22%@729,21%@729,15%@729,10%@729,7%@729,6%@729"
2025-08-26T16:34:44,0,,3282,7620,"20%@729,34%@729,8%@729,10%@729,9%@729,7%@729"
2025-08-26T16:34:45,0,,3282,7620,"9%@729,13%@729,9%@729,8%@729,7%@729,33%@729"
2025-08-26T16:34:46,0,,3282,7620,"13%@729,5%@729,9%@729,11%@729,7%@729,40%@729"
2025-08-26T16:34:47,0,,3282,7620,"9%@729,8%@729,9%@729,7%@729,8%@729,41%@729"
2025-08-26T16:34:48,0,,3282,7620,"12%@729,9%@729,8%@729,7%@729,8%@729,41%@729"
2025-08-26T16:34:49,0,,3273,7620,"11%@729,11%@729,12%@729,6%@729,8%@729,40%@729"
