ts,frame_idx,t_total_ms,t_refresh_ms,t_predict_ms,fps_inst,fps_avg,pupil_norm_x,pupil_norm_y,pred_norm_x,pred_norm_y,pred_screen_x,pred_screen_y
2025-08-26 16:35:35,0,80.88,79.72,1.17,0.7,0.7,0.4715,0.0437,0.0,0.0,0,0
2025-08-26 16:35:35,1,51.66,50.57,1.09,3.92,2.31,0.4649,0.0568,0.0,0.0,0,0
2025-08-26 16:35:36,2,56.15,54.26,1.9,9.14,4.59,0.4601,0.0724,0.0,0.0,0,0
2025-08-26 16:35:36,3,53.49,52.4,1.08,5.05,4.7,0.4543,0.0854,0.0,0.0,0,0
2025-08-26 16:35:36,4,53.34,52.21,1.13,5.09,4.78,0.4467,0.0979,0.0,0.0,0,0
2025-08-26 16:35:36,5,65.72,64.59,1.13,4.65,4.76,0.4389,0.1115,0.0,0.0,0,0
2025-08-26 16:35:36,6,65.3,63.88,1.41,5.02,4.8,0.4293,0.1234,0.0,0.0,0,0
2025-08-26 16:35:37,7,64.67,63.47,1.2,5.02,4.82,0.4231,0.1307,0.0,0.0,0,0
2025-08-26 16:35:37,8,64.92,63.74,1.17,4.99,4.84,0.4182,0.137,0.0,0.0,0,0
2025-08-26 16:35:37,9,65.26,64.11,1.14,4.99,4.86,0.4166,0.1432,0.0,0.0,0,0
2025-08-26 16:35:37,10,64.7,63.54,1.16,5.02,4.87,0.416,0.1448,0.0,0.0,0,0
2025-08-26 16:35:37,11,64.78,63.59,1.2,4.99,4.88,0.4179,0.1469,0.0,0.0,0,0
2025-08-26 16:35:38,12,51.31,50.19,1.12,5.38,4.92,0.4198,0.1458,0.0,0.0,0,0
2025-08-26 16:35:38,13,65.4,64.16,1.24,4.66,4.9,0.4217,0.1495,0.0,0.0,0,0
2025-08-26 16:35:38,14,65.79,64.65,1.14,4.99,4.91,0.4242,0.1568,0.0,0.0,0,0
2025-08-26 16:35:38,15,64.56,63.38,1.17,5.03,4.91,0.4258,0.1667,0.0,0.0,0,0
2025-08-26 16:35:38,16,65.8,64.65,1.15,4.98,4.92,0.4342,0.1495,0.0,0.0,0,0
2025-08-26 16:35:39,17,68.36,66.9,1.47,4.93,4.92,0.4223,0.1568,0.0,0.0,0,0
2025-08-26 16:35:39,18,67.55,66.15,1.41,5.03,4.92,0.4231,0.1547,0.0,0.0,0,0
2025-08-26 16:35:39,19,67.92,66.57,1.35,4.99,4.93,0.4236,0.1526,0.0,0.0,0,0
2025-08-26 16:35:39,20,67.19,65.57,1.63,5.02,4.93,0.4261,0.1552,0.0,0.0,0,0
2025-08-26 16:35:39,21,66.0,64.79,1.21,5.12,4.94,0.4261,0.1297,0.0,0.0,0,0
2025-08-26 16:35:40,22,67.39,66.05,1.34,4.97,4.94,0.4234,0.124,0.0,0.0,0,0
2025-08-26 16:35:40,23,65.9,64.71,1.19,5.04,4.95,0.4236,0.1271,0.0,0.0,0,0
2025-08-26 16:35:40,24,64.78,63.45,1.33,4.94,4.95,0.4261,0.1292,0.0,0.0,0,0
2025-08-26 16:35:40,25,63.29,61.64,1.65,5.04,4.95,0.431,0.1354,0.0,0.0,0,0
2025-08-26 16:35:40,26,64.75,63.15,1.6,4.95,4.95,0.4356,0.1385,0.0,0.0,0,0
2025-08-26 16:35:41,27,67.94,66.4,1.54,5.02,4.95,0.4367,0.1422,0.0,0.0,0,0
2025-08-26 16:35:41,28,67.0,65.38,1.62,5.03,4.95,0.4351,0.1453,0.0,0.0,0,0
2025-08-26 16:35:41,29,66.93,65.32,1.62,5.0,4.96,0.4356,0.1547,0.0,0.0,0,0
2025-08-26 16:35:41,30,66.89,65.33,1.56,5.0,4.96,0.4375,0.1609,0.0,0.0,0,0
2025-08-26 16:35:41,31,67.09,65.44,1.65,5.0,4.96,0.4399,0.1714,0.0,0.0,0,0
2025-08-26 16:35:42,32,66.85,65.22,1.63,5.01,4.96,0.441,0.1682,0.0,0.0,0,0
2025-08-26 16:35:42,33,67.36,66.1,1.26,4.97,4.96,0.444,0.1693,0.0,0.0,0,0
2025-08-26 16:35:42,34,64.65,63.39,1.26,5.07,4.96,0.4541,0.1719,0.0,0.0,0,0
2025-08-26 16:35:42,35,64.8,63.47,1.33,5.0,4.97,0.4682,0.1714,0.0,0.0,0,0
2025-08-26 16:35:42,36,64.74,63.42,1.32,5.0,4.97,0.4872,0.1844,0.0,0.0,0,0
2025-08-26 16:35:43,37,63.96,62.69,1.27,5.02,4.97,0.5076,0.1958,0.0,0.0,0,0
2025-08-26 16:35:43,38,64.02,62.74,1.27,5.0,4.97,0.5226,0.2047,0.0,0.0,0,0
2025-08-26 16:35:43,39,64.17,62.91,1.26,5.0,4.97,0.5413,0.2214,0.0,0.0,0,0
2025-08-26 16:35:43,40,64.09,62.84,1.25,5.0,4.97,0.5549,0.2276,0.0,0.0,0,0
2025-08-26 16:35:43,41,61.56,59.87,1.69,5.07,4.97,0.5527,0.2245,0.0,0.0,0,0
2025-08-26 16:35:44,42,52.56,51.32,1.24,5.23,4.98,0.5503,0.2208,0.0,0.0,0,0
2025-08-26 16:35:44,43,64.19,62.67,1.52,4.71,4.97,0.5565,0.2292,0.0,0.0,0,0
2025-08-26 16:35:44,44,66.45,64.8,1.66,4.96,4.97,0.5687,0.226,0.0209,0.0,38,0
2025-08-26 16:35:44,45,64.26,62.67,1.59,5.05,4.97,0.581,0.2203,0.0994,0.0,182,0
2025-08-26 16:35:44,46,67.29,65.81,1.48,4.93,4.97,0.5807,0.2214,0.1008,0.0,185,0
2025-08-26 16:35:45,47,67.29,65.79,1.5,5.0,4.97,0.5712,0.2219,0.0263,0.0,48,0
2025-08-26 16:35:45,48,67.39,65.93,1.46,5.0,4.97,0.5747,0.2172,0.0386,0.0,71,0
2025-08-26 16:35:45,49,67.87,66.38,1.49,4.99,4.97,0.5497,0.2052,0.0,0.0,0,0
2025-08-26 16:35:45,50,66.44,65.25,1.19,5.04,4.98,0.494,0.1922,0.0,0.0,0,0
2025-08-26 16:35:45,51,64.13,62.9,1.23,5.06,4.98,0.4497,0.1792,0.0,0.0,0,0
2025-08-26 16:35:46,52,64.03,62.75,1.28,5.01,4.98,0.4584,0.1703,0.0,0.0,0,0
2025-08-26 16:35:46,53,64.03,62.8,1.23,4.99,4.98,0.5003,0.1693,0.0,0.0,0,0
2025-08-26 16:35:46,54,64.16,62.93,1.24,5.0,4.98,0.5399,0.1536,0.0,0.0,0,0
2025-08-26 16:35:46,55,64.2,62.94,1.26,5.0,4.98,0.5546,0.1677,0.0,0.0,0,0
2025-08-26 16:35:46,56,64.77,63.51,1.27,4.99,4.98,0.5582,0.1693,0.0,0.0,0,0
2025-08-26 16:35:47,57,63.78,62.54,1.24,5.02,4.98,0.547,0.1833,0.0,0.0,0,0
2025-08-26 16:35:47,58,64.03,62.79,1.24,4.99,4.98,0.5511,0.1891,0.0,0.0,0,0
