sec,fps_sec,gpu_pct,emc_pct,ram_used_mb
2025-08-26 16:34:08,,8.0,,2998.0
2025-08-26 16:34:09,,0.0,,2998.0
2025-08-26 16:34:10,,32.0,,2999.0
2025-08-26 16:34:11,,15.0,,3003.0
2025-08-26 16:34:12,,0.0,,3138.0
2025-08-26 16:34:13,,0.0,,3167.0
2025-08-26 16:34:14,,46.0,,3214.0
2025-08-26 16:34:15,,0.0,,3232.0
2025-08-26 16:34:16,,40.0,,3270.0
2025-08-26 16:34:17,,0.0,,3270.0
2025-08-26 16:34:18,,0.0,,3271.0
2025-08-26 16:34:19,,0.0,,3270.0
2025-08-26 16:34:20,,0.0,,3274.0
2025-08-26 16:34:21,,0.0,,3274.0
2025-08-26 16:34:22,,0.0,,3274.0
2025-08-26 16:34:23,,0.0,,3274.0
2025-08-26 16:34:24,,0.0,,3274.0
2025-08-26 16:34:25,,0.0,,3274.0
2025-08-26 16:34:26,,0.0,,3274.0
2025-08-26 16:34:27,,0.0,,3274.0
2025-08-26 16:34:28,,0.0,,3274.0
2025-08-26 16:34:29,,0.0,,3274.0
2025-08-26 16:34:30,,0.0,,3274.0
2025-08-26 16:34:31,,0.0,,3274.0
2025-08-26 16:34:32,,0.0,,3274.0
2025-08-26 16:34:33,,16.0,,3274.0
2025-08-26 16:34:34,,0.0,,3274.0
2025-08-26 16:34:35,,68.0,,3274.0
2025-08-26 16:34:36,,73.0,,3274.0
2025-08-26 16:34:37,,60.0,,3274.0
2025-08-26 16:34:38,,24.0,,3282.0
2025-08-26 16:34:39,,9.0,,3282.0
2025-08-26 16:34:40,,7.0,,3282.0
2025-08-26 16:34:41,,0.0,,3282.0
2025-08-26 16:34:42,,0.0,,3282.0
2025-08-26 16:34:44,,0.0,,3282.0
2025-08-26 16:34:45,,0.0,,3282.0
2025-08-26 16:34:46,,0.0,,3282.0
2025-08-26 16:34:47,,0.0,,3282.0
2025-08-26 16:34:48,,0.0,,3282.0
2025-08-26 16:34:49,,0.0,,3273.0
2025-08-26 16:34:50,,0.0,,3273.0
2025-08-26 16:34:51,,0.0,,3273.0
2025-08-26 16:34:52,,0.0,,3273.0
2025-08-26 16:34:53,,0.0,,3273.0
2025-08-26 16:34:54,,0.0,,3275.0
2025-08-26 16:34:55,,0.0,,3274.0
2025-08-26 16:34:56,,31.0,,3274.0
2025-08-26 16:34:57,,0.0,,3274.0
2025-08-26 16:34:58,,0.0,,3274.0
2025-08-26 16:34:59,,7.0,,3277.0
2025-08-26 16:35:00,,0.0,,3277.0
2025-08-26 16:35:01,,0.0,,3277.0
2025-08-26 16:35:02,,0.0,,3277.0
2025-08-26 16:35:03,,0.0,,3277.0
2025-08-26 16:35:04,,0.0,,3277.0
2025-08-26 16:35:05,,0.0,,3278.0
2025-08-26 16:35:06,,48.0,,3278.0
2025-08-26 16:35:07,,0.0,,3278.0
2025-08-26 16:35:08,,57.0,,3278.0
2025-08-26 16:35:09,,68.0,,3268.0
2025-08-26 16:35:10,,57.0,,3269.0
2025-08-26 16:35:11,,35.0,,3269.0
2025-08-26 16:35:12,,0.0,,3271.0
2025-08-26 16:35:13,,0.0,,3271.0
2025-08-26 16:35:14,,61.0,,2975.0
2025-08-26 16:35:15,,0.0,,2975.0
2025-08-26 16:35:16,,0.0,,2976.0
2025-08-26 16:35:17,,0.0,,2976.0
2025-08-26 16:35:18,,0.0,,2978.0
2025-08-26 16:35:19,,0.0,,2978.0
2025-08-26 16:35:20,,0.0,,3011.0
2025-08-26 16:35:21,,0.0,,3034.0
2025-08-26 16:35:22,,0.0,,3065.0
2025-08-26 16:35:23,,0.0,,3096.0
2025-08-26 16:35:24,,0.0,,2999.0
2025-08-26 16:35:25,,0.0,,3000.0
2025-08-26 16:35:26,,38.0,,3000.0
2025-08-26 16:35:27,,0.0,,3001.0
2025-08-26 16:35:28,,0.0,,3001.0
2025-08-26 16:35:29,,0.0,,2999.0
2025-08-26 16:35:30,,0.0,,2998.0
2025-08-26 16:35:31,,0.0,,3000.0
2025-08-26 16:35:32,,0.0,,3128.0
2025-08-26 16:35:33,,0.0,,3159.0
2025-08-26 16:35:34,,36.0,,3220.0
2025-08-26 16:35:35,1.505,0.0,,3234.0
2025-08-26 16:35:36,4.726,34.0,,3294.0
2025-08-26 16:35:37,4.854,0.0,,3292.0
2025-08-26 16:35:38,4.912000000000001,0.0,,3292.0
2025-08-26 16:35:39,4.928,53.0,,3292.0
2025-08-26 16:35:40,4.948,68.0,,3292.0
2025-08-26 16:35:41,4.956,28.0,,3292.0
2025-08-26 16:35:42,4.964,31.0,,3290.0
2025-08-26 16:35:43,4.97,25.0,,3290.0
2025-08-26 16:35:44,4.9719999999999995,0.0,,3290.0
2025-08-26 16:35:45,4.974,0.0,,3290.0
2025-08-26 16:35:46,4.98,0.0,,3290.0
2025-08-26 16:35:47,5.014,0.0,,3282.0
2025-08-26 16:35:48,5.008,0.0,,3282.0
