ts,gpu_pct,emc_pct,ram_used_mb,ram_total_mb,cpu_raw
2025-08-26T13:11:43,0,,2751,7620,"6%@729,3%@729,7%@729,3%@729,7%@729,9%@729"
2025-08-26T13:11:44,0,,2732,7620,"14%@729,18%@729,16%@729,16%@729,18%@729,15%@729"
2025-08-26T13:11:45,0,,2732,7620,"3%@729,6%@729,4%@729,6%@729,2%@729,3%@729"
2025-08-26T13:11:46,0,,2732,7620,"6%@729,4%@729,3%@729,2%@729,4%@729,0%@729"
2025-08-26T13:11:47,0,,2733,7620,"3%@729,3%@729,2%@729,7%@729,2%@729,1%@729"
2025-08-26T13:11:48,0,,2733,7620,"7%@729,2%@729,2%@729,2%@729,0%@729,0%@729"
2025-08-26T13:11:49,0,,2735,7620,"3%@729,2%@729,1%@729,7%@729,0%@729,1%@729"
2025-08-26T13:11:50,30,,2735,7620,"13%@729,11%@729,13%@729,12%@729,5%@1728,33%@1728"
2025-08-26T13:11:51,48,,2731,7620,"45%@1728,21%@1728,25%@1728,18%@1728,39%@729,22%@729"
2025-08-26T13:11:52,38,,2730,7620,"21%@1728,10%@1728,12%@1728,8%@1728,11%@729,15%@729"
2025-08-26T13:11:53,0,,2730,7620,"3%@729,6%@729,6%@729,3%@729,14%@729,4%@729"
2025-08-26T13:11:54,0,,2729,7620,"2%@729,1%@729,2%@729,1%@729,1%@729,1%@729"
2025-08-26T13:11:55,0,,2727,7620,"2%@729,2%@729,5%@729,2%@729,3%@729,0%@729"
2025-08-26T13:11:56,0,,2727,7620,"7%@729,7%@729,8%@729,4%@729,6%@729,2%@729"
2025-08-26T13:11:57,0,,2728,7620,"10%@729,17%@729,14%@729,10%@729,10%@729,21%@729"
